Month,Line,Day Type,Crew Availability,External Factors,Infrastructure & Equipment,Operating Conditions,Planned ROW Work,Police & Medical
2020-01-01,1,1,3,2,43,104,35,75
2020-01-01,1,2,7,0,13,16,6,22
2020-01-01,2,1,8,5,41,80,37,77
2020-01-01,2,2,4,1,21,82,12,43
2020-01-01,3,1,2,1,24,55,15,32
2020-01-01,3,2,0,0,6,66,13,21
2020-01-01,4,1,10,1,46,81,41,77
2020-01-01,4,2,1,0,12,22,20,33
2020-01-01,5,1,3,1,27,35,12,49
2020-01-01,5,2,3,0,3,19,3,8
2020-01-01,6,1,5,2,46,147,45,105
2020-01-01,6,2,5,0,9,23,11,40
2020-01-01,7,1,2,1,85,7,28,35
2020-01-01,7,2,3,0,14,4,12,8
2020-01-01,A,1,35,51,61,198,51,80
2020-01-01,A,2,6,10,12,29,18,21
2020-01-01,B,1,14,1,30,95,9,32
2020-01-01,C,1,17,0,35,148,6,59
2020-01-01,C,2,5,1,9,32,6,17
2020-01-01,D,1,41,4,49,124,74,60
2020-01-01,D,2,7,1,17,36,11,18
2020-01-01,E,1,17,0,24,105,35,48
2020-01-01,E,2,2,0,5,6,9,11
2020-01-01,F,1,43,1,47,84,88,61
2020-01-01,F,2,6,0,12,26,27,13
2020-01-01,G,1,11,0,35,151,57,18
2020-01-01,G,2,0,0,10,41,18,12
2020-01-01,JZ,1,14,2,35,109,35,43
2020-01-01,JZ,2,6,0,9,28,12,9
2020-01-01,L,1,7,1,28,12,42,20
2020-01-01,L,2,0,2,4,8,1,3
2020-01-01,M,1,18,0,17,97,23,31
2020-01-01,M,2,1,0,6,27,7,12
2020-01-01,N,1,25,1,62,141,99,60
2020-01-01,N,2,6,1,12,29,22,16
2020-01-01,Q,1,28,2,40,50,45,48
2020-01-01,Q,2,6,3,10,23,12,21
2020-01-01,R,1,33,1,41,65,38,42
2020-01-01,R,2,4,0,9,9,6,17
2020-01-01,S 42nd,1,0,0,2,13,1,1
2020-01-01,S 42nd,2,0,0,0,0,0,2
2020-01-01,S Fkln,1,0,0,2,0,0,1
2020-01-01,S Fkln,2,0,1,0,0,0,0
2020-01-01,S Rock,1,0,22,5,4,2,2
