Month,division,Line,Day Type,num_on_time_trips,num_sched_trips,terminal_on_time_performance
2015-01-01,A DIVISION,1,1,6874,9017,0.762337806
2015-01-01,A DIVISION,2,1,2920,6175,0.472874494
2015-01-01,A DIVISION,3,1,4004,5834,0.686321563
2015-01-01,A DIVISION,4,1,3692,7623,0.484323757
2015-01-01,A DIVISION,5,1,3203,6491,0.493452473
2015-01-01,A DIVISION,6,1,5967,11509,0.518463811
2015-01-01,A DIVISION,7,1,10595,12322,0.859844181
2015-01-01,A DIVISION,S 42nd,1,11592,11834,0.979550448
2015-01-01,B DIVISION,A,1,4956,7327,0.676402347
2015-01-01,B DIVISION,B,1,3164,4120,0.767961165
2015-01-01,B DIVISION,C,1,3359,4000,0.83975
2015-01-01,B DIVISION,D,1,4022,5288,0.760590015
2015-01-01,B DIVISION,E,1,5453,7894,0.690777806
2015-01-01,B DIVISION,F,1,4597,7939,0.579040181
2015-01-01,B DIVISION,G,1,3961,5664,0.699329096
2015-01-01,B DIVISION,JZ,1,4374,5444,0.803453343
2015-01-01,B DIVISION,L,1,9109,9808,0.928731648
2015-01-01,B DIVISION,M,1,3761,5315,0.707619944
2015-01-01,B DIVISION,N,1,3601,5259,0.684730937
2015-01-01,B DIVISION,Q,1,3737,5348,0.698765894
2015-01-01,B DIVISION,R,1,3506,5670,0.618342152
2015-01-01,B DIVISION,S Fkln,1,2337,2354,0.99277825
2015-01-01,B DIVISION,S Rock,1,3203,3358,0.953841572
2015-02-01,A DIVISION,1,1,6067,8579,0.70719198
2015-02-01,A DIVISION,2,1,2185,5901,0.370276224
2015-02-01,A DIVISION,3,1,3300,5618,0.58739765
2015-02-01,A DIVISION,4,1,3061,7201,0.42507985
2015-02-01,A DIVISION,5,1,2489,6172,0.403272845
2015-02-01,A DIVISION,6,1,4255,10630,0.40028222
2015-02-01,A DIVISION,7,1,9057,11727,0.772320287
2015-02-01,A DIVISION,S 42nd,1,11149,11192,0.99615797
2015-02-01,B DIVISION,A,1,4390,6970,0.629842181
2015-02-01,B DIVISION,B,1,2678,3914,0.684210526
2015-02-01,B DIVISION,C,1,2983,3800,0.785
2015-02-01,B DIVISION,D,1,3404,5063,0.672328659
2015-02-01,B DIVISION,E,1,5197,7512,0.691826411
2015-02-01,B DIVISION,F,1,3963,7465,0.530877428
2015-02-01,B DIVISION,G,1,3735,5371,0.695401229
2015-02-01,B DIVISION,JZ,1,3750,5193,0.722125939
2015-02-01,B DIVISION,L,1,8216,9505,0.864387165
2015-02-01,B DIVISION,M,1,3324,5054,0.657696874
2015-02-01,B DIVISION,N,1,3104,5054,0.614166996
2015-02-01,B DIVISION,Q,1,3433,5089,0.674592258
2015-02-01,B DIVISION,R,1,3103,5371,0.577732266
2015-02-01,B DIVISION,S Fkln,1,2223,2242,0.991525424
2015-02-01,B DIVISION,S Rock,1,3009,3195,0.941784038
2015-03-01,A DIVISION,1,1,7435,9929,0.748816598
2015-03-01,A DIVISION,2,1,3138,7213,0.43504783
2015-03-01,A DIVISION,3,1,4015,6304,0.636897208
2015-03-01,A DIVISION,4,1,3218,8076,0.398464586
2015-03-01,A DIVISION,5,1,2776,7145,0.388523443
2015-03-01,A DIVISION,6,1,4931,12246,0.402662094
2015-03-01,A DIVISION,7,1,10949,13571,0.806793899
2015-03-01,A DIVISION,S 42nd,1,13226,13290,0.995184349
2015-03-01,B DIVISION,A,1,5271,8040,0.655597015
2015-03-01,B DIVISION,B,1,3605,4525,0.796685083
2015-03-01,B DIVISION,C,1,3521,4400,0.800227273
2015-03-01,B DIVISION,D,1,4460,5793,0.769894701
2015-03-01,B DIVISION,E,1,6199,8692,0.713184538
